system,metric,mean,ci95_low,ci95_high,count
agentic,retrieval.final.document_recall@3,0.9490740740740741,0.9120370370370371,0.9814814814814815,108
agentic,retrieval.final.document_recall@5,0.9861111111111112,0.9675925925925926,1.0,108
agentic,retrieval.final.hitrate@1,0.8333333333333334,0.7592592592592593,0.9074074074074074,108
agentic,retrieval.final.hitrate@3,0.9629629629629629,0.9259259259259259,0.9907407407407407,108
agentic,retrieval.final.hitrate@5,1.0,1.0,1.0,108
agentic,retrieval.final.matches@1,0.8333333333333334,0.7592592592592593,0.9074074074074074,108
agentic,retrieval.final.matches@3,1.1296296296296295,1.0555555555555556,1.212962962962963,108
agentic,retrieval.final.matches@5,1.1851851851851851,1.1111111111111112,1.25,108
agentic,retrieval.final.mrr,0.9023148148148148,0.857391975308642,0.944008487654321,108
agentic,retrieval.final.ndcg@1,0.8333333333333334,0.7592592592592593,0.9074074074074074,108
agentic,retrieval.final.ndcg@3,0.8962227513795528,0.8506656647761422,0.9389937947725273,108
agentic,retrieval.final.ndcg@5,0.913075168379476,0.8773660395915667,0.9469821295530364,108
agentic,retrieval.final.precision@1,0.8333333333333334,0.7592592592592593,0.9074074074074074,108
agentic,retrieval.final.precision@3,0.3765432098765432,0.35185185185185186,0.40432098765432095,108
agentic,retrieval.final.precision@5,0.23703703703703705,0.22222222222222224,0.25,108
agentic,retrieval.final.recall@1,0.75,0.6759259259259259,0.8240740740740741,108
agentic,retrieval.final.recall@3,0.9444444444444444,0.9027777777777778,0.9814814814814815,108
agentic,retrieval.final.recall@5,0.9814814814814815,0.9629629629629629,0.9953703703703703,108
agentic,retrieval.final.relevant_count,1.2222222222222223,1.1481481481481481,1.2962962962962963,108
agentic,retrieval.round1.document_recall@1,0.7731481481481481,0.7037037037037037,0.8379629629629629,108
agentic,retrieval.round1.document_recall@3,0.9444444444444444,0.9074074074074074,0.9768518518518519,108
agentic,retrieval.round1.document_recall@5,0.9861111111111112,0.9675925925925926,1.0,108
agentic,retrieval.round1.hitrate@1,0.8240740740740741,0.75,0.8981481481481481,108
agentic,retrieval.round1.hitrate@3,0.9629629629629629,0.9259259259259259,0.9907407407407407,108
agentic,retrieval.round1.hitrate@5,1.0,1.0,1.0,108
agentic,retrieval.round1.matches@1,0.8240740740740741,0.75,0.8981481481481481,108
agentic,retrieval.round1.matches@3,1.1203703703703705,1.0462962962962963,1.2037037037037037,108
agentic,retrieval.round1.matches@5,1.1851851851851851,1.1111111111111112,1.25,108
agentic,retrieval.round1.mrr,0.8976851851851851,0.8527623456790123,0.9401234567901234,108
agentic,retrieval.round1.ndcg@1,0.8240740740740741,0.75,0.8981481481481481,108
agentic,retrieval.round1.ndcg@3,0.8892234638456353,0.8414551385286329,0.932106992845734,108
agentic,retrieval.round1.ndcg@5,0.9085209560545641,0.8724454837915111,0.9427726690750997,108
agentic,retrieval.round1.precision@1,0.8240740740740741,0.75,0.8981481481481481,108
agentic,retrieval.round1.precision@3,0.3734567901234568,0.3487654320987654,0.4012345679012346,108
agentic,retrieval.round1.precision@5,0.23703703703703705,0.22222222222222224,0.25,108
agentic,retrieval.round1.recall@1,0.7407407407407407,0.6620370370370371,0.8148148148148148,108
agentic,retrieval.round1.recall@3,0.9398148148148148,0.8981481481481481,0.9768518518518519,108
agentic,retrieval.round1.recall@5,0.9814814814814815,0.9629629629629629,0.9953703703703703,108
agentic,retrieval.round1.relevant_count,1.2222222222222223,1.1481481481481481,1.2962962962962963,108
agentic,retrieval.round2.document_recall@1,0.8,0.6,1.0,5
agentic,retrieval.round2.document_recall@3,1.0,1.0,1.0,5
agentic,retrieval.round2.document_recall@5,1.0,1.0,1.0,5
agentic,retrieval.round2.hitrate@1,1.0,1.0,1.0,5
agentic,retrieval.round2.hitrate@3,1.0,1.0,1.0,5
agentic,retrieval.round2.hitrate@5,1.0,1.0,1.0,5
agentic,retrieval.round2.matches@1,1.0,1.0,1.0,5
agentic,retrieval.round2.matches@3,1.4,1.0,1.8,5
agentic,retrieval.round2.matches@5,1.4,1.0,1.8,5
agentic,retrieval.round2.mrr,1.0,1.0,1.0,5
agentic,retrieval.round2.ndcg@1,1.0,1.0,1.0,5
agentic,retrieval.round2.ndcg@3,1.0,1.0,1.0,5
agentic,retrieval.round2.ndcg@5,1.0,1.0,1.0,5
agentic,retrieval.round2.precision@1,1.0,1.0,1.0,5
agentic,retrieval.round2.precision@3,0.4666666666666666,0.3333333333333333,0.6,5
agentic,retrieval.round2.precision@5,0.28,0.2,0.36000000000000004,5
agentic,retrieval.round2.recall@1,0.8,0.6,1.0,5
agentic,retrieval.round2.recall@3,1.0,1.0,1.0,5
agentic,retrieval.round2.recall@5,1.0,1.0,1.0,5
agentic,retrieval.round2.relevant_count,1.4,1.0,1.8,5
